epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,2872.33,1.31099,0.79455,0.95478,0.68518,0.49331,0.54507,0.32196,1.20981,0.77504,0.92059,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,2972.48,1.31082,0.79358,0.95524,0.67127,0.48655,0.54944,0.32223,1.20232,0.77701,0.91714,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,3072.55,1.30958,0.78897,0.95268,0.66082,0.49029,0.53982,0.31743,1.20281,0.7727,0.91785,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,3173.13,1.30551,0.78627,0.95185,0.68261,0.48365,0.55703,0.3272,1.19904,0.7652,0.91808,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,3273.14,1.29832,0.78511,0.94976,0.67385,0.49176,0.55332,0.32483,1.20074,0.7687,0.91694,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,3374.27,1.29993,0.78048,0.95028,0.68245,0.49451,0.55382,0.33027,1.19685,0.76438,0.9163,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,3475.42,1.29542,0.77633,0.9474,0.68415,0.49353,0.54914,0.32773,1.19272,0.76282,0.91349,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,3575.27,1.29807,0.77731,0.94831,0.69462,0.4968,0.5532,0.32647,1.19685,0.7595,0.91723,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,3675.86,1.29068,0.77167,0.94543,0.68792,0.48688,0.54893,0.32477,1.18985,0.75764,0.91215,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,3775.92,1.29053,0.76996,0.94491,0.67489,0.48742,0.54892,0.32935,1.18892,0.75696,0.91244,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,3876.67,1.28541,0.76896,0.94565,0.63939,0.52175,0.55554,0.33185,1.19108,0.75265,0.91342,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,3976.83,1.28772,0.76626,0.94314,0.66844,0.49356,0.5508,0.32898,1.18965,0.75108,0.91357,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,4077.37,1.28346,0.76533,0.94378,0.64348,0.52203,0.54991,0.33018,1.18641,0.74415,0.9122,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,4177.17,1.2809,0.76219,0.94263,0.70022,0.50136,0.56414,0.33522,1.18727,0.75035,0.91303,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,4277.95,1.27814,0.75982,0.94307,0.66799,0.49938,0.56017,0.33489,1.18242,0.74591,0.91271,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,4378.15,1.27745,0.7597,0.94203,0.65391,0.49968,0.55456,0.33157,1.18165,0.74383,0.91114,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,4478.27,1.27275,0.75498,0.94076,0.67756,0.50022,0.55784,0.33366,1.1799,0.74509,0.91092,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,4578.33,1.27281,0.75209,0.94094,0.68041,0.49919,0.56806,0.33903,1.18001,0.74486,0.90965,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,4678.66,1.27047,0.75074,0.93865,0.68335,0.51071,0.56475,0.33631,1.17921,0.74264,0.90977,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,4779.19,1.26644,0.74914,0.93822,0.68599,0.49605,0.56247,0.33533,1.18217,0.74391,0.91029,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,4880.86,1.27021,0.74938,0.93928,0.68364,0.49811,0.55919,0.32914,1.17947,0.74098,0.91018,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,4981.48,1.26335,0.74537,0.93636,0.67238,0.49271,0.55882,0.3299,1.17867,0.73881,0.90818,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,5081.37,1.25984,0.74268,0.93438,0.69252,0.49329,0.56584,0.33514,1.17604,0.73941,0.9079,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,5181.48,1.25813,0.74237,0.93468,0.67305,0.50293,0.56652,0.33439,1.17711,0.7386,0.90841,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,5281.22,1.25974,0.73952,0.93509,0.68761,0.50194,0.56911,0.34134,1.17554,0.73876,0.90803,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,5382.69,1.25408,0.73742,0.93468,0.66574,0.52386,0.56993,0.34218,1.17372,0.73428,0.90792,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,5482.99,1.25365,0.73539,0.93276,0.68427,0.50264,0.56735,0.34075,1.17416,0.73328,0.90829,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,5583.19,1.24952,0.73482,0.93323,0.67077,0.5063,0.56609,0.33969,1.17322,0.73332,0.90735,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,5683.28,1.24899,0.73261,0.93113,0.67878,0.5136,0.5628,0.3405,1.17409,0.73419,0.90787,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,5783.51,1.24836,0.7284,0.93057,0.67957,0.51702,0.56639,0.34137,1.17465,0.73333,0.90725,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,5883.49,1.24729,0.72862,0.92934,0.65361,0.52628,0.57098,0.33903,1.17234,0.734,0.90636,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,5984.69,1.24155,0.72453,0.92939,0.6621,0.52741,0.5699,0.33748,1.17246,0.73326,0.90685,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,6086.05,1.24388,0.72669,0.92952,0.69767,0.49803,0.56937,0.33783,1.1721,0.73174,0.9068,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,6185.9,1.24303,0.72379,0.9293,0.67364,0.50224,0.56791,0.33782,1.17268,0.73337,0.90751,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,6287.56,1.23505,0.71921,0.9288,0.66403,0.50498,0.57178,0.34115,1.17316,0.73374,0.90774,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,6387.37,1.23768,0.71949,0.92665,0.62191,0.53986,0.57512,0.34144,1.1731,0.73359,0.90694,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,6486.83,1.23882,0.71922,0.92849,0.6532,0.51579,0.57125,0.34113,1.17104,0.73248,0.90601,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,6586.96,1.23427,0.71817,0.92692,0.6367,0.5334,0.57302,0.34181,1.17141,0.73279,0.90612,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,6686.83,1.23482,0.71519,0.92517,0.6622,0.52164,0.57235,0.34125,1.171,0.73227,0.90591,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,6787.28,1.23324,0.7132,0.92595,0.65657,0.53154,0.56859,0.33953,1.17069,0.73148,0.90574,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,6887.74,1.22857,0.70858,0.92391,0.6614,0.5228,0.57057,0.3381,1.16977,0.73002,0.9054,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,6987.73,1.22801,0.70919,0.92319,0.6793,0.50793,0.56871,0.33848,1.16937,0.72864,0.90519,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,7087.84,1.22772,0.70854,0.9225,0.70881,0.49926,0.56964,0.33949,1.16895,0.72866,0.90486,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,7188.2,1.22018,0.70403,0.92189,0.71168,0.50115,0.57107,0.34016,1.16802,0.72824,0.90491,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,7288.86,1.21866,0.702,0.92137,0.68524,0.50973,0.57017,0.33872,1.16718,0.72855,0.90455,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,7389.32,1.2169,0.69901,0.92118,0.69773,0.50104,0.57063,0.34036,1.16622,0.72788,0.90443,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
